Идентификатор,Роль,Действие,as is (по телефону),as is (очно),Проблемы,to be (в системе),to be (очно),Решение проблемы
st00200,Клиент,Запись /перенос/отмена записи на услугу,+,+,Клиенту трудно записаться (дозвониться),+,+,Облегчение записи клиенту
st00200,Клиент,Просмотр истории записей,+,+,Клиент не помнит когда была последняя запись/ не может на основе этого принять решение,+,+,Клиент может узнать когда была последняя запись
st00200,Клиент,Получение скидки,-,+,,+,+,
st00200,Клиент,Получение уведомлений о появлении новых услуг,-,+,Новые услуги не пользуются популярностью/ так как о них никто не знает,+,+,Автоматическая рассылка уведомлений менеджером
st00200,Клиент,Получение напоминания,+ /-,-,Менеджеру сложно направить СМС всем вручную,+,-,Напоминания будут направляться   автоматизировано
st00200,Клиент,Ознакомление с информцией по мастерам и услугам,+ /-,-,Нет полного перечня и описания услуг и мастеров,+,-,Клиент имеет возможность ознакомиться с матерами и услугами
st00200,Клиент,Ознакомление с отзывами по мастерам и услугам,-,-,Нет полного перечня и описания услуг и мастеров,+,-,Клиент может посмотреть отзывы
st00200,Клиент,Оставление обратной связи,-,+,Вживую клиенты не всегда дают обратную связь мастеру честно,+,+,Клиент может поделиться впечатлениями об услуге/мастере
st00200,Клиент,Задавание вопросов менеджеру в чате,-,-,Клиенту трудно дозвониться,-,-,В чате менеджер отвечает оперативнее
st00200,Клиент,Выбор канала связи для получения уведомлений,-,-,,+,-,
st00300,Посетитель,Регистрация,-,+,Ошибки менеджера при ручном вводе данных клиента,+,-,"Упрощение регистрации
Снижение нагрузки на менеджера"
st00300,Посетитель,Запись /перенос записи на услугу,+,+,Клиенту трудно записаться (дозвониться),+,-,Облегчение записи
st00300,Посетитель,Получение уведомлений о появлении новых услуг,-,+,Новые услуги не пользуются популярностью/ так как о них никто не знает,+,-,Возможность рассылки сообщений
st00300,Посетитель,Получение скидки,-,-,,+,-,
st00300,Посетитель,Получение напоминания,-,-,Без регистрации менеджер теряет номера телефонов,+,-,Возможность направлять напоминания   автоматизировано
st00300,Посетитель,Ознакомление с информцией по мастерам и услугам,+,+,Невозможность посетителя принять решение о мастере или услуге из-за недостатка информации,+,-,Посетитель имеет возможность ознакомиться с матерами и услугами
st00400,Мастер,Просмотр расписания,-,+,,+,,
st00400,Мастер,Получение уведомлений о новых записях/отменах/отзывах,+,+,Задержка в получении информации об отменах/новых записях,+,+,Мастер оперативно получает информацию о записях
st00400,Мастер,Просмотр отзывов,-,+,Только положительная обратная связь/ невозможность улучшить работу,+,+,Мастер имеет доступ к честной обратной связи и может корректировать свой подход
st00400,Мастер,Заполнение личного профиля,-,-,Отсутствие собственной рекламы,+,-,С помощью личного профиля можно рассказать о своей квалификации
