Идент.,Стейкхолдер,№,Интересы,№_,Потребности,№__,Проблемы
st00100,Руководитель сети барбершопов,1,Объем бизнеса,1,Расширить клиентскую базу,1,Отсутствие роста клиентской базы
,,2,Размер клиентской базы,2,Повысить средний чек,2,Клиенты по записи не доходят на услуги
,,3,Трудозатраты сотрудников,3,Снизить трудозатраты сотрудников на дозвоны и запись клиентов,3,"Высокие неравномерные трудозатраты (пиковые периоды) на запись по телефону,"
,,4,Средний чек,4,Снизить ошибки при записи на услуги по телефону,4,Клиенты часто не могут записаться на услугу по телефону
,,,,5,,5,В пиковые периоды менеджер не успевает обработать звонки для записи на услуги
,,,,6,,6,"Клиент часто не приходит на услугу, не помнит время записи"
,,,,7,,7,Клиенты при записи по телефону не видят полного списка услуг
st00200,Зарегистрированный посетитель,1,Предоставляемые услуги и их стоимость,1,"Видеть отзывы на услуги и мастеров, иметь возможность выбрать лучшую",1,Долгие ответы менеджера на вопросы
,,2,Удобство и скорость записи на услугу,2,Получить напоминание о записи чтобы не пропустить,2,"Отсутствие напоминания об услуге, пропуск записи"
,,3,Скорость ответа на вопросы,3,Оценить услугу,3,Нет полного перечня и описания услуг и мастеров
,,4,Удобство приложения,4,Оценить работу приложения и предложить как можно улучшить ее работу,4,"Клиент не помнит когда была последняя запись, не может на основе этого принять решение"
,,5,История посещений и предпочтения,5,Просмотр информации об опыте и образовании мастеров,5,Клиенту трудно записаться/дозвониться до менеджера
,,,,6,Быстрая повторная запись к любимому мастеру,6,Отсутствие информации о появлении новых услуг
,,,,7,Просмотр информации о составе каждой процедуры,7,
,,,,8,"Просмотр информации о полученных услугах, их датах, мастерах и др.",,
,,,,9,Возможность задать вопрос менеджеру по записи или услуге,,
st00300,Незарегистрированный посетитель,1,Предоставляемые услуги и их стоимость,1,"Видеть отзывы на услуги и мастеров, иметь возможность выбрать лучшую",1,Долгие ответы менеджера на вопросы
,,2,Удобство и скорость записи на услугу,2,Получить напоминание о записи чтобы не пропустить,2,"Отсутствие напоминания об услуге, пропуск записи"
,,3,Скорость ответа на вопросы,3,Просмотр информации об опыте и образовании мастеров,3,Невозможность принять решение о мастере или услуге из-за недостатка информации
,,4,Удобство приложения,4,Просмотр информации о составе каждой процедуры,4,Посетителю трудно записаться/дозвониться до менеджера
,,,,5,Возможность задать вопрос менеджеру по записи или услуге,,
st00400,Мастер,1,Максимальная заполненность расписания,1,Видеть расписание записей,1,Задержка в получении информации об отменах/новых записях
,,2,Хорошие отзывы посетителей,2,Уведомления об отменах записей,2,Невозможность отслеживать заработанные деньги в течение месяца
,,3,Стабильный заработок,3,Видеть отзывы о своих услугах,3,Вживую клиенты не всегда дают обратную связь честно
,,,,4,Повысить свою популярность среди других мастеров,4,Отсутствие собственной рекламы
,,,,5,Иметь чистое рабочее место после каждого клиента,5,Много отмен из-за отсутствия напоминаний клиентам
,,,,6,Возможность просматривать информацию об оплате,6,"Новые услуги не пользуются популярностью, так как о них никто не знает"
st00500,Менеджер,1,Удобство и скорость работы,1,Добавление новых услуг и информации по ним,1,"Ручное составление расписания, возникновение ошибок и дублей"
,,2,Снижение количества ошибок при записи,2,Настройка расписания рассылки уведомлений,2,Ошибки при ручном вводе данных клиента
,,3,Минимизация ручного труда,3,Составление и корректировка расписания мастерам,3,Множество ручной рутинной работы
,,4,Корректное начисление оплаты,4,Ответы на вопросы клиентов,,Менеджеру сложно направить СМС всем вручную
,,,,5,Начисление оплаты,,
,,,,6,Отметка о выполнении услуг (местеров и технических сотрудников),,
st00600,Администратор системы,1,Корректная работа приложения,1,Управление правами доступа пользователей,1,Несанкционированный доступ к системе
,,2,Безопасность приложения,2,Настройка параметров системы,2,Пользователи системы могут совершать ошибочные действия
,,3,Поддержка пользователей системы,3,Просмотр истории действий внутри приложения,3,"Устаревание информации, накопление лишних аккаунтов"
,,,,4,Отмена ошибочных действий/отмотка приложения до определенной стадии,,
,,,,5,Поддержание актуальности аккаунтов,,
,,,,6,Мониторинг работоспособности системы,,
st00700,Санэпиднадзор,1,Установление норм и проверка их соблюдения,1,Получение журналов учета санобработки,1,Отсутствие информации по проведению профилактических мероприятий
,,,,2,Автоматические отчеты о соблюдении норм,2,Нарушение норм при деятельности
,,,,3,Проведение внеплановых и плановых проверок,,
st00800,Разработчики системы,1,Стабильность и производительность системы,1,Разработать приложение,1,Функционал закрывает недостаточно потребностей
,,2,Качество кода,2,"Оптимизировать приложение, исправлять баги",2,Неполные или неясные требования к системе
,,3,Масштабируемость системы,3,Тестовая среда для разработки,,
,,,,4,Четкие технические требования,,
,,,,,Просматривать код,,
,,,,5,Добавлять новые функции,,
st00900,Служба сопровождения,1,Стабильность работы системы,1,Доступ к логам системы,1,У клиентов и посетителей возникают проблемы с работой приложения
,,2,Скорость решения проблем,2,Получение информации о технических работах и сбоях,2,При технических сбоях клиенты не знают как записаться на услугу
,,,,3,Составление отчетов по работоспособности приложения для исправления ошибок,3,Сложно вычислить причину сбоя
,,,,4,База знаний типовых проблем,,
st01000,Бухгалтер,1,Точность финансовых данных,1,Автоматический расчет с мастерами,1,Расхождения между финансовой отчетностью и реальностью
,,2,Своевременность получения информации,2,Формирование отчетов,2,Задержки в получении информации
,,,,3,Автоматическая сверка данных с системой,3,Ошибки при ручном вводе данных клиента
st01100,Технический работник,1,Соблюдение норм Санэпиднадзора,1,Получать напоминание о необходимости уборки,1,Отсутствие расписания
,,,Чистота помещения,2,Отметка о выполненной уборке в системе,2,Невозможность подтвердить выполнение уборки
st01200,Управляющий,,Выручка,,Выполнение всеми сотрудниками своих обязанностей,1,Отсутствие информации о финансовых операциях внутри конкретного барершопа
,,,,,Выполнение плана продаж,2,Возникновение споров из-за отсутствия отчетности
,,,,,Своевременная выплата заработной платы,,
st01300,Регулятор,1,Установление норм и проверка их соблюдения,1,Получение отчетов,1,Отсутствие отчетности
,,,,2,Проведение внеплановых и плановых проверок,2,Нарушение норм при деятельности
